gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaymentMethod,Churn
1,0.0,0,0,0.1805555555555555,1,0,0.7950248756218906,0.1399879818803734,1.0,1.0,0.2118769472739246,0.9999999999999998,1.0,1.0,0.8430737058446651,0.8731875917079581,1.0,0.1267299313850972,1
0,0.0,0,0,0.7222222222222222,1,1,0.925373134328358,0.6815198298973837,1.0,1.0,0.2118769472739246,0.4307652077672445,1.0,0.2184069690682171,0.8430737058446651,0.8731875917079581,0.1960916786111063,0.0,1
0,0.0,0,0,0.5138888888888888,1,0,0.0159203980099502,0.0884487380974392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1267299313850972,0
1,0.0,1,1,0.986111111111111,1,0,0.0144278606965173,0.148175325875936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1.0,1,0,0.9583333333333331,1,1,0.6631840796019901,0.6664047332901913,1.0,1.0,0.2118769472739246,0.4307652077672445,1.0,1.0,1.0,1.0,1.0,0.0,0
1,0.0,0,0,0.0416666666666666,1,0,0.0293532338308457,0.0038365535730794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1960916786111063,0.1267299313850972,0
1,0.0,0,0,0.0555555555555555,1,1,0.4527363184079601,0.0239611260053619,0.0,0.3566297847903865,1.0,0.4307652077672445,1.0,0.2184069690682171,0.8430737058446651,1.0,1.0,0.0366201037611325,0
1,0.0,0,0,0.0555555555555555,1,1,0.3746268656716417,0.0253824997688823,0.0,0.3566297847903865,1.0,0.9999999999999998,1.0,1.0,1.0,0.8731875917079581,1.0,1.0,0
1,0.0,0,0,0.6944444444444444,1,1,0.7487562189054726,0.546437320883794,0.0,1.0,0.2118769472739246,0.4307652077672445,1.0,0.2184069690682171,1.0,0.8731875917079581,1.0,0.0,0
1,1.0,1,0,0.0277777777777777,1,1,0.5567164179104478,0.0140115096607192,0.0,1.0,1.0,0.9999999999999998,0.4659836492899482,1.0,1.0,1.0,1.0,1.0,0
1,0.0,1,1,0.861111111111111,1,0,0.9681592039800994,0.8251132476657114,1.0,1.0,0.2118769472739246,0.4307652077672445,0.4659836492899482,0.2184069690682171,0.8430737058446651,0.8731875917079581,0.0,0.0366201037611325,0
0,0.0,0,0,0.0416666666666666,1,1,0.7796019900497512,0.0315533419617269,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,0.8430737058446651,0.8731875917079581,1.0,1.0,1
1,0.0,0,0,0.2222222222222222,1,0,0.0149253731343283,0.0319000184894148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0,0.0,0,0,0.1111111111111111,1,1,0.3144278606965174,0.0400642507164648,0.0,0.3566297847903865,0.2118769472739246,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1
0,1.0,1,0,0.7222222222222222,1,1,0.8781094527363184,0.6474761948784321,1.0,1.0,1.0,0.4307652077672445,0.4659836492899482,1.0,0.8430737058446651,0.8731875917079581,0.1960916786111063,1.0,0
1,0.0,0,0,0.3611111111111111,1,1,0.6805970149253732,0.2530623093279097,1.0,1.0,0.2118769472739246,0.4307652077672445,1.0,1.0,1.0,1.0,1.0,0.0,0
0,0.0,0,0,0.5416666666666666,0,1,0.3223880597014925,0.2180075344365351,0.1854184844400084,0.3566297847903865,1.0,0.9999999999999998,0.4659836492899482,1.0,0.8430737058446651,0.8731875917079581,1.0,0.0,0
1,0.0,1,1,0.4583333333333333,1,0,0.0184079601990049,0.0695317555699362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1960916786111063,0.0,0
0,0.0,0,0,0.0138888888888888,1,1,0.5164179104477612,0.005928168623463,0.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,0.1267299313850972,1
0,1.0,0,0,0.5555555555555556,1,1,0.8507462686567163,0.4818283720070259,1.0,1.0,1.0,0.9999999999999998,0.4659836492899482,0.2184069690682171,0.8430737058446651,0.8731875917079581,0.1960916786111063,0.0,0
0,0.0,1,1,0.75,1,1,0.6761194029850747,0.5206156975131737,1.0,0.3566297847903865,1.0,0.4307652077672445,0.4659836492899482,0.2184069690682171,0.8430737058446651,0.8731875917079581,1.0,1.0,0
0,0.0,0,1,0.1805555555555555,0,0,0.1184079601990049,0.0419883054451326,0.1854184844400084,0.3566297847903865,1.0,0.4307652077672445,1.0,1.0,1.0,1.0,1.0,1.0,0
1,0.0,1,1,1.0,1,1,0.9159203980099504,0.9184674586299344,1.0,1.0,0.2118769472739246,0.4307652077672445,0.4659836492899482,1.0,0.8430737058446651,0.8731875917079581,0.0,0.0366201037611325,0
0,0.0,0,0,0.0138888888888888,1,1,0.6114427860696517,0.0070317555699362,0.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,0.8731875917079581,1.0,1.0,1
1,0.0,0,0,0.6527777777777778,1,0,0.0218905472636815,0.1067937043542571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0366201037611325,0
